"Näytteen päivämäärä","Puhdistamo","Puhdistamon sijainti","Puhdistamon asiakasmäärä","Sairaanhoitopiiri","Näytetyyppi","Koronavirustulos näytteestä","Epävarmuustekijät","Virtaama","Virtaamakorjattu RNA-lukumäärä"
"2022-06-27","Suomenoja","Espoo","390000","Helsingin ja Uudenmaan SHP","Tuleva jätevesi","havaittu, yli määritysrajan","","71240","116764"
"2022-06-27","Viikinmäki","Helsinki","860000","Helsingin ja Uudenmaan SHP","Tuleva jätevesi","havaittu, yli määritysrajan","","191913","529858"
"2022-06-27","Kuhasalo","Joensuu","98000","Pohjois-Karjalan SHP","Tuleva jätevesi","havaittu, yli määritysrajan","(a)","18088","117592"
"2022-06-27","Nenäinniemi","Jyväskylä","154600","Keski-Suomen SHP","Tuleva jätevesi","havaittu, yli määritysrajan","","29821","459548"
"2022-06-27","Lehtoniemi","Kuopio","90697","Pohjois-Savon SHP","Tuleva jätevesi","havaittu, yli määritysrajan","","16850","776318"
"2022-06-27","Taskila","Oulu","200000","Pohjois-Pohjanmaan SHP","Tuleva jätevesi","havaittu, yli määritysrajan","","39190","189930"
"2022-06-27","Alakorkalo","Rovaniemi","55000","Lapin SHP","Tuleva jätevesi","havaittu, yli määritysrajan","a","10987","451696"
"2022-06-27","Viinikanlahti","Tampere","200000","Pirkanmaan SHP","Tuleva jätevesi","havaittu, yli määritysrajan","","58909","392602"
"2022-06-27","Kakolanmäki","Turku","300000","Varsinais-Suomen SHP","Tuleva jätevesi","havaittu, yli määritysrajan","","47916","422416"
"2022-06-27","Pått","Vaasa","69500","Vaasan SHP","Tuleva jätevesi","havaittu, yli määritysrajan","","12470","351110"
"2022-06-20","Suomenoja","Espoo","390000","Helsingin ja Uudenmaan SHP","Tuleva jätevesi","havaittu, yli määritysrajan","","84755","421658"
"2022-06-20","Viikinmäki","Helsinki","860000","Helsingin ja Uudenmaan SHP","Tuleva jätevesi","havaittu, yli määritysrajan","","238816","413182"
"2022-06-20","Paroinen","Hämeenlinna","66000","Kanta-Hämeen SHP","Tuleva jätevesi","havaittu, yli määritysrajan","","18375","128959"
"2022-06-20","Kuhasalo","Joensuu","98000","Pohjois-Karjalan SHP","Tuleva jätevesi","havaittu, yli määritysrajan","","24243","103775"
"2022-06-20","Nenäinniemi","Jyväskylä","154600","Keski-Suomen SHP","Tuleva jätevesi","havaittu, yli määritysrajan","","37561","537815"
"2022-06-20","Mäkikylä","Kouvola","67107","Kymenlaakson SHP","Tuleva jätevesi","havaittu, yli määritysrajan","b","19894","26633"
"2022-06-20","Lehtoniemi","Kuopio","90697","Pohjois-Savon SHP","Tuleva jätevesi","havaittu, yli määritysrajan","","20637","300687"
"2022-06-20","Toikansuo","Lappeenranta","63000","Etelä-Karjalan SHP","Tuleva jätevesi","havaittu, yli määritysrajan","","12884","101474"
"2022-06-20","Taskila","Oulu","200000","Pohjois-Pohjanmaan SHP","Tuleva jätevesi","havaittu, yli määritysrajan","","44855","191600"
"2022-06-20","Luotsinmäki","Pori","112000","Satakunnan SHP","Tuleva jätevesi","havaittu, yli määritysrajan","a","23761","15943"
"2022-06-20","Viinikanlahti","Tampere","200000","Pirkanmaan SHP","Tuleva jätevesi","havaittu, yli määritysrajan","","71039","238840"
"2022-06-20","Kakolanmäki","Turku","300000","Varsinais-Suomen SHP","Tuleva jätevesi","havaittu, yli määritysrajan","","56753","353454"
"2022-06-20","Pått","Vaasa","69500","Vaasan SHP","Tuleva jätevesi","havaittu, yli määritysrajan","","14129","73644"
"2022-06-13","Suomenoja","Espoo","390000","Helsingin ja Uudenmaan SHP","Tuleva jätevesi","havaittu, yli määritysrajan","b","88908","497837"
"2022-06-13","Viikinmäki","Helsinki","860000","Helsingin ja Uudenmaan SHP","Tuleva jätevesi","havaittu, yli määritysrajan","","240019","515580"
"2022-06-13","Paroinen","Hämeenlinna","66000","Kanta-Hämeen SHP","Tuleva jätevesi","havaittu, yli määritysrajan","","15058","279385"
"2022-06-13","Kuhasalo","Joensuu","98000","Pohjois-Karjalan SHP","Tuleva jätevesi","havaittu, yli määritysrajan","b","18993","79459"
"2022-06-13","Nenäinniemi","Jyväskylä","154600","Keski-Suomen SHP","Tuleva jätevesi","havaittu, yli määritysrajan","","31734","436193"
"2022-06-13","Mäkikylä","Kouvola","67107","Kymenlaakson SHP","Tuleva jätevesi","havaittu, yli määritysrajan","","20106","74328"
"2022-06-13","Lehtoniemi","Kuopio","90697","Pohjois-Savon SHP","Tuleva jätevesi","havaittu, yli määritysrajan","","17625","923029"
"2022-06-13","Toikansuo","Lappeenranta","63000","Etelä-Karjalan SHP","Tuleva jätevesi","havaittu, yli määritysrajan","","17717","195179"
"2022-06-13","Taskila","Oulu","200000","Pohjois-Pohjanmaan SHP","Tuleva jätevesi","havaittu, yli määritysrajan","b","45745","78297"
"2022-06-13","Alheda","Pietarsaari","30500","Vaasan SHP","Tuleva jätevesi","havaittu, yli määritysrajan","b","6418","12609"
"2022-06-13","Luotsinmäki","Pori","112000","Satakunnan SHP","Tuleva jätevesi","havaittu, yli määritysrajan","b","23347","18284"
"2022-06-13","Alakorkalo","Rovaniemi","55000","Lapin SHP","Tuleva jätevesi","havaittu, yli määritysrajan","","13633","313636"
"2022-06-13","Seinäjoenkeskuspuhdistamo","Seinäjoki","45000","Etelä-Pohjanmaan SHP","Tuleva jätevesi","havaittu, yli määritysrajan","","14500","109736"
"2022-06-13","Viinikanlahti","Tampere","200000","Pirkanmaan SHP","Tuleva jätevesi","havaittu, yli määritysrajan","b","67402","219916"
"2022-06-13","Kakolanmäki","Turku","300000","Varsinais-Suomen SHP","Tuleva jätevesi","havaittu, yli määritysrajan","","55261","291863"
"2022-06-13","Pått","Vaasa","69500","Vaasan SHP","Tuleva jätevesi","havaittu, yli määritysrajan","","15266","126886"
"2022-06-06","Suomenoja","Espoo","390000","Helsingin ja Uudenmaan SHP","Tuleva jätevesi","havaittu, yli määritysrajan","","101464","260432"
"2022-06-06","Viikinmäki","Helsinki","860000","Helsingin ja Uudenmaan SHP","Tuleva jätevesi","havaittu, yli määritysrajan","","305208","474006"
"2022-06-06","Paroinen","Hämeenlinna","66000","Kanta-Hämeen SHP","Tuleva jätevesi","havaittu, yli määritysrajan","b","18142","128264"
"2022-06-06","Kuhasalo","Joensuu","98000","Pohjois-Karjalan SHP","Tuleva jätevesi","havaittu, yli määritysrajan","(a) b","20047","196706"
"2022-06-06","Nenäinniemi","Jyväskylä","154600","Keski-Suomen SHP","Tuleva jätevesi","havaittu, yli määritysrajan","(a)","34326","407300"
"2022-06-06","Mäkikylä","Kouvola","67107","Kymenlaakson SHP","Tuleva jätevesi","havaittu, yli määritysrajan","b","27443","89477"
"2022-06-06","Lehtoniemi","Kuopio","90697","Pohjois-Savon SHP","Tuleva jätevesi","havaittu, yli määritysrajan","","23073","399708"
"2022-06-06","Toikansuo","Lappeenranta","63000","Etelä-Karjalan SHP","Tuleva jätevesi","havaittu, yli määritysrajan","b","16227","159429"
"2022-06-06","Taskila","Oulu","200000","Pohjois-Pohjanmaan SHP","Tuleva jätevesi","havaittu, yli määritysrajan","b","47224","127916"
"2022-06-06","Luotsinmäki","Pori","112000","Satakunnan SHP","Tuleva jätevesi","havaittu, yli määritysrajan","b","23437","74756"
"2022-06-06","Viinikanlahti","Tampere","200000","Pirkanmaan SHP","Tuleva jätevesi","havaittu, yli määritysrajan","(a) b","69146","265936"
"2022-06-06","Kakolanmäki","Turku","300000","Varsinais-Suomen SHP","Tuleva jätevesi","havaittu, yli määritysrajan","","61404","451772"
"2022-06-06","Pått","Vaasa","69500","Vaasan SHP","Tuleva jätevesi","havaittu, yli määritysrajan","","15922","286669"
"2022-05-30","Suomenoja","Espoo","390000","Helsingin ja Uudenmaan SHP","Tuleva jätevesi","havaittu, yli määritysrajan","","106338","357901"
"2022-05-30","Viikinmäki","Helsinki","860000","Helsingin ja Uudenmaan SHP","Tuleva jätevesi","havaittu, yli määritysrajan","","272998","229741"
"2022-05-30","Paroinen","Hämeenlinna","66000","Kanta-Hämeen SHP","Tuleva jätevesi","havaittu, yli määritysrajan","","16934","168357"
"2022-05-30","Kuhasalo","Joensuu","98000","Pohjois-Karjalan SHP","Tuleva jätevesi","havaittu, yli määritysrajan","b","21786","104333"
"2022-05-30","Nenäinniemi","Jyväskylä","154600","Keski-Suomen SHP","Tuleva jätevesi","havaittu, yli määritysrajan","b","34322","246985"
"2022-05-30","Mäkikylä","Kouvola","67107","Kymenlaakson SHP","Tuleva jätevesi","havaittu, yli määritysrajan","b","22503","66224"
"2022-05-30","Lehtoniemi","Kuopio","90697","Pohjois-Savon SHP","Tuleva jätevesi","havaittu, yli määritysrajan","","24947","415495"
"2022-05-30","Toikansuo","Lappeenranta","63000","Etelä-Karjalan SHP","Tuleva jätevesi","havaittu, yli määritysrajan","","13180","99637"
"2022-05-30","Taskila","Oulu","200000","Pohjois-Pohjanmaan SHP","Tuleva jätevesi","havaittu, yli määritysrajan","b","45922","203969"
"2022-05-30","Luotsinmäki","Pori","112000","Satakunnan SHP","Tuleva jätevesi","havaittu, yli määritysrajan","","24569","20914"
"2022-05-30","Alakorkalo","Rovaniemi","55000","Lapin SHP","Tuleva jätevesi","havaittu, yli määritysrajan","","16039","136594"
"2022-05-30","Viinikanlahti","Tampere","200000","Pirkanmaan SHP","Tuleva jätevesi","havaittu, yli määritysrajan","","71310","668153"
"2022-05-30","Kakolanmäki","Turku","300000","Varsinais-Suomen SHP","Tuleva jätevesi","havaittu, yli määritysrajan","","57028","377098"
"2022-05-30","Pått","Vaasa","69500","Vaasan SHP","Tuleva jätevesi","havaittu, yli määritysrajan","","15541","123431"
"2022-05-24","Toikansuo","Lappeenranta","63000","Etelä-Karjalan SHP","Tuleva jätevesi","havaittu, yli määritysrajan","b","15113","112246"
"2022-05-24","Luotsinmäki","Pori","112000","Satakunnan SHP","Tuleva jätevesi","havaittu, yli määritysrajan","a","28029","20639"
"2022-05-23","Suomenoja","Espoo","390000","Helsingin ja Uudenmaan SHP","Tuleva jätevesi","havaittu, yli määritysrajan","b","91424","394898"
"2022-05-23","Viikinmäki","Helsinki","860000","Helsingin ja Uudenmaan SHP","Tuleva jätevesi","havaittu, yli määritysrajan","b","240000","311944"
"2022-05-23","Paroinen","Hämeenlinna","66000","Kanta-Hämeen SHP","Tuleva jätevesi","havaittu, yli määritysrajan","b","16717","153194"
"2022-05-23","Kuhasalo","Joensuu","98000","Pohjois-Karjalan SHP","Tuleva jätevesi","havaittu, yli määritysrajan","b","20866","120048"
"2022-05-23","Nenäinniemi","Jyväskylä","154600","Keski-Suomen SHP","Tuleva jätevesi","havaittu, yli määritysrajan","","35594","307552"
"2022-05-23","Mäkikylä","Kouvola","67107","Kymenlaakson SHP","Tuleva jätevesi","havaittu, yli määritysrajan","b","22216","225977"
"2022-05-23","Lehtoniemi","Kuopio","90697","Pohjois-Savon SHP","Tuleva jätevesi","havaittu, yli määritysrajan","","23720","1006232"
"2022-05-23","Taskila","Oulu","200000","Pohjois-Pohjanmaan SHP","Tuleva jätevesi","havaittu, yli määritysrajan","b","48253","273867"
"2022-05-23","Viinikanlahti","Tampere","200000","Pirkanmaan SHP","Tuleva jätevesi","havaittu, yli määritysrajan","b","70174","612465"
"2022-05-23","Kakolanmäki","Turku","300000","Varsinais-Suomen SHP","Tuleva jätevesi","havaittu, yli määritysrajan","","59681","643695"
"2022-05-23","Pått","Vaasa","69500","Vaasan SHP","Tuleva jätevesi","havaittu, yli määritysrajan","b","16152","162224"
"2022-05-16","Suomenoja","Espoo","390000","Helsingin ja Uudenmaan SHP","Tuleva jätevesi","havaittu, yli määritysrajan","","94430","111958"
"2022-05-16","Viikinmäki","Helsinki","860000","Helsingin ja Uudenmaan SHP","Tuleva jätevesi","havaittu, yli määritysrajan","","247231","212969"
"2022-05-16","Paroinen","Hämeenlinna","66000","Kanta-Hämeen SHP","Tuleva jätevesi","havaittu, yli määritysrajan","","18571","55795"
"2022-05-16","Kuhasalo","Joensuu","98000","Pohjois-Karjalan SHP","Tuleva jätevesi","havaittu, yli määritysrajan","","23869","88191"
"2022-05-16","Nenäinniemi","Jyväskylä","154600","Keski-Suomen SHP","Tuleva jätevesi","havaittu, yli määritysrajan","","42263","215692"
"2022-05-16","Mäkikylä","Kouvola","67107","Kymenlaakson SHP","Tuleva jätevesi","havaittu, yli määritysrajan","","27664","155253"
"2022-05-16","Lehtoniemi","Kuopio","90697","Pohjois-Savon SHP","Tuleva jätevesi","havaittu, yli määritysrajan","","22450","441752"
"2022-05-16","Toikansuo","Lappeenranta","63000","Etelä-Karjalan SHP","Tuleva jätevesi","havaittu, yli määritysrajan","","16470","208379"
"2022-05-16","Taskila","Oulu","200000","Pohjois-Pohjanmaan SHP","Tuleva jätevesi","havaittu, yli määritysrajan","","52836","130000"
"2022-05-16","Alheda","Pietarsaari","30500","Vaasan SHP","Tuleva jätevesi","havaittu, yli määritysrajan","","10722","136285"
"2022-05-16","Luotsinmäki","Pori","112000","Satakunnan SHP","Tuleva jätevesi","havaittu, yli määritysrajan","","28165","21571"
"2022-05-16","Alakorkalo","Rovaniemi","55000","Lapin SHP","Tuleva jätevesi","havaittu, yli määritysrajan","","19301","181191"
"2022-05-16","Seinäjoenkeskuspuhdistamo","Seinäjoki","45000","Etelä-Pohjanmaan SHP","Tuleva jätevesi","havaittu, yli määritysrajan","","18607","227522"
"2022-05-16","Viinikanlahti","Tampere","200000","Pirkanmaan SHP","Tuleva jätevesi","havaittu, yli määritysrajan","","73000","302103"
"2022-05-16","Kakolanmäki","Turku","300000","Varsinais-Suomen SHP","Tuleva jätevesi","havaittu, yli määritysrajan","","64249","185682"
"2022-05-16","Pått","Vaasa","69500","Vaasan SHP","Tuleva jätevesi","havaittu, yli määritysrajan","","17885","63665"
"2022-05-09","Suomenoja","Espoo","390000","Helsingin ja Uudenmaan SHP","Tuleva jätevesi","havaittu, yli määritysrajan","","97033","221924"
"2022-05-09","Viikinmäki","Helsinki","860000","Helsingin ja Uudenmaan SHP","Tuleva jätevesi","havaittu, yli määritysrajan","","289739","523289"
"2022-05-09","Paroinen","Hämeenlinna","66000","Kanta-Hämeen SHP","Tuleva jätevesi","havaittu, yli määritysrajan","","20735","113939"
"2022-05-09","Kuhasalo","Joensuu","98000","Pohjois-Karjalan SHP","Tuleva jätevesi","havaittu, yli määritysrajan","(a)","28917","83310"
"2022-05-09","Nenäinniemi","Jyväskylä","154600","Keski-Suomen SHP","Tuleva jätevesi","havaittu, yli määritysrajan","(a)","46839","599879"
"2022-05-09","Mäkikylä","Kouvola","67107","Kymenlaakson SHP","Tuleva jätevesi","havaittu, yli määritysrajan","","33799","313804"
"2022-05-09","Lehtoniemi","Kuopio","90697","Pohjois-Savon SHP","Tuleva jätevesi","havaittu, yli määritysrajan","","24286","280616"
"2022-05-09","Toikansuo","Lappeenranta","63000","Etelä-Karjalan SHP","Tuleva jätevesi","havaittu, yli määritysrajan","","17656","170641"
"2022-05-09","Taskila","Oulu","200000","Pohjois-Pohjanmaan SHP","Tuleva jätevesi","havaittu, yli määritysrajan","","50531","457066"
"2022-05-09","Luotsinmäki","Pori","112000","Satakunnan SHP","Tuleva jätevesi","havaittu, yli määritysrajan","","28037","60983"
"2022-05-09","Viinikanlahti","Tampere","200000","Pirkanmaan SHP","Tuleva jätevesi","havaittu, yli määritysrajan","","80286","310586"
"2022-05-09","Kakolanmäki","Turku","300000","Varsinais-Suomen SHP","Tuleva jätevesi","havaittu, yli määritysrajan","","67166","689976"
"2022-05-09","Pått","Vaasa","69500","Vaasan SHP","Tuleva jätevesi","havaittu, yli määritysrajan","","17745","138414"
"2022-05-02","Suomenoja","Espoo","390000","Helsingin ja Uudenmaan SHP","Tuleva jätevesi","havaittu, yli määritysrajan","","106683","247431"
"2022-05-02","Viikinmäki","Helsinki","860000","Helsingin ja Uudenmaan SHP","Tuleva jätevesi","havaittu, yli määritysrajan","","318804","118932"
"2022-05-02","Paroinen","Hämeenlinna","66000","Kanta-Hämeen SHP","Tuleva jätevesi","havaittu, yli määritysrajan","","23469","61439"
"2022-05-02","Kuhasalo","Joensuu","98000","Pohjois-Karjalan SHP","Tuleva jätevesi","havaittu, yli määritysrajan","","28495","48520"
"2022-05-02","Nenäinniemi","Jyväskylä","154600","Keski-Suomen SHP","Tuleva jätevesi","havaittu, yli määritysrajan","","47731","298634"
"2022-05-02","Mäkikylä","Kouvola","67107","Kymenlaakson SHP","Tuleva jätevesi","havaittu, yli määritysrajan","","41427","144597"
"2022-05-02","Lehtoniemi","Kuopio","90697","Pohjois-Savon SHP","Tuleva jätevesi","havaittu, yli määritysrajan","","26571","320863"
"2022-05-02","Toikansuo","Lappeenranta","63000","Etelä-Karjalan SHP","Tuleva jätevesi","havaittu, yli määritysrajan","","21608","114087"
"2022-05-02","Taskila","Oulu","200000","Pohjois-Pohjanmaan SHP","Tuleva jätevesi","havaittu, yli määritysrajan","","53014","134210"
"2022-05-02","Luotsinmäki","Pori","112000","Satakunnan SHP","Tuleva jätevesi","havaittu, yli määritysrajan","","31316","20853"
"2022-05-02","Alakorkalo","Rovaniemi","55000","Lapin SHP","Tuleva jätevesi","havaittu, yli määritysrajan","","16191","147777"
"2022-05-02","Viinikanlahti","Tampere","200000","Pirkanmaan SHP","Tuleva jätevesi","havaittu, yli määritysrajan","","85581","236319"
"2022-05-02","Kakolanmäki","Turku","300000","Varsinais-Suomen SHP","Tuleva jätevesi","havaittu, yli määritysrajan","","74166","311925"
"2022-05-02","Pått","Vaasa","69500","Vaasan SHP","Tuleva jätevesi","havaittu, yli määritysrajan","","19905","69215"
"2022-04-26","Suomenoja","Espoo","390000","Helsingin ja Uudenmaan SHP","Tuleva jätevesi","havaittu, yli määritysrajan","b","138293","191337"
"2022-04-25","Viikinmäki","Helsinki","860000","Helsingin ja Uudenmaan SHP","Tuleva jätevesi","havaittu, yli määritysrajan","b","389897","425065"
"2022-04-25","Paroinen","Hämeenlinna","66000","Kanta-Hämeen SHP","Tuleva jätevesi","havaittu, yli määritysrajan","","33961","232978"
"2022-04-25","Kuhasalo","Joensuu","98000","Pohjois-Karjalan SHP","Tuleva jätevesi","havaittu, yli määritysrajan","b","38777","110815"
"2022-04-25","Nenäinniemi","Jyväskylä","154600","Keski-Suomen SHP","Tuleva jätevesi","havaittu, yli määritysrajan","","69595","397916"
"2022-04-25","Mäkikylä","Kouvola","67107","Kymenlaakson SHP","Tuleva jätevesi","havaittu, yli määritysrajan","","62181","294435"
"2022-04-25","Lehtoniemi","Kuopio","90697","Pohjois-Savon SHP","Tuleva jätevesi","havaittu, yli määritysrajan","","36278","469350"
"2022-04-25","Toikansuo","Lappeenranta","63000","Etelä-Karjalan SHP","Tuleva jätevesi","havaittu, yli määritysrajan","","31094","278963"
"2022-04-25","Taskila","Oulu","200000","Pohjois-Pohjanmaan SHP","Tuleva jätevesi","havaittu, yli määritysrajan","","61960","404103"
"2022-04-25","Luotsinmäki","Pori","112000","Satakunnan SHP","Tuleva jätevesi","havaittu, yli määritysrajan","b","39284","54008"
"2022-04-25","Viinikanlahti","Tampere","200000","Pirkanmaan SHP","Tuleva jätevesi","havaittu, yli määritysrajan","","114748","353630"
"2022-04-25","Kakolanmäki","Turku","300000","Varsinais-Suomen SHP","Tuleva jätevesi","havaittu, yli määritysrajan","","95920","1658028"
"2022-04-25","Pått","Vaasa","69500","Vaasan SHP","Tuleva jätevesi","havaittu, yli määritysrajan","","27547","117235"
"2022-04-19","Suomenoja","Espoo","390000","Helsingin ja Uudenmaan SHP","Tuleva jätevesi","havaittu, yli määritysrajan","","176471","296426"
"2022-04-19","Viikinmäki","Helsinki","860000","Helsingin ja Uudenmaan SHP","Tuleva jätevesi","havaittu, yli määritysrajan","","375719","271011"
"2022-04-19","Paroinen","Hämeenlinna","66000","Kanta-Hämeen SHP","Tuleva jätevesi","havaittu, yli määritysrajan","","36642","124327"
"2022-04-19","Kuhasalo","Joensuu","98000","Pohjois-Karjalan SHP","Tuleva jätevesi","havaittu, yli määritysrajan","","32983","118039"
"2022-04-19","Nenäinniemi","Jyväskylä","154600","Keski-Suomen SHP","Tuleva jätevesi","havaittu, yli määritysrajan","","57356","276103"
"2022-04-19","Mäkikylä","Kouvola","67107","Kymenlaakson SHP","Tuleva jätevesi","havaittu, yli määritysrajan","","63883","102983"
"2022-04-19","Lehtoniemi","Kuopio","90697","Pohjois-Savon SHP","Tuleva jätevesi","havaittu, yli määritysrajan","","34744","748944"
"2022-04-19","Toikansuo","Lappeenranta","63000","Etelä-Karjalan SHP","Tuleva jätevesi","havaittu, yli määritysrajan","","30418","323324"
"2022-04-19","Taskila","Oulu","200000","Pohjois-Pohjanmaan SHP","Tuleva jätevesi","havaittu, yli määritysrajan","","47508","147926"
"2022-04-19","Alheda","Pietarsaari","30500","Vaasan SHP","Tuleva jätevesi","havaittu, yli määritysrajan","a b","14400","28026"
"2022-04-19","Luotsinmäki","Pori","112000","Satakunnan SHP","Tuleva jätevesi","havaittu, yli määritysrajan","","45747","46164"
"2022-04-19","Alakorkalo","Rovaniemi","55000","Lapin SHP","Tuleva jätevesi","havaittu, yli määritysrajan","","17915","329258"
"2022-04-19","Seinäjoenkeskuspuhdistamo","Seinäjoki","45000","Etelä-Pohjanmaan SHP","Tuleva jätevesi","havaittu, yli määritysrajan","","24896","28614"
"2022-04-19","Viinikanlahti","Tampere","200000","Pirkanmaan SHP","Tuleva jätevesi","havaittu, yli määritysrajan","","115872","425980"
"2022-04-19","Kakolanmäki","Turku","300000","Varsinais-Suomen SHP","Tuleva jätevesi","havaittu, yli määritysrajan","","119492","392173"
"2022-04-19","Pått","Vaasa","69500","Vaasan SHP","Tuleva jätevesi","havaittu, yli määritysrajan","a b","33884","65837"
"2022-04-11","Suomenoja","Espoo","390000","Helsingin ja Uudenmaan SHP","Tuleva jätevesi","havaittu, yli määritysrajan","","198234","426671"
"2022-04-11","Viikinmäki","Helsinki","860000","Helsingin ja Uudenmaan SHP","Tuleva jätevesi","havaittu, yli määritysrajan","","452718","390411"
"2022-04-11","Paroinen","Hämeenlinna","66000","Kanta-Hämeen SHP","Tuleva jätevesi","havaittu, yli määritysrajan","","28657","313651"
"2022-04-11","Kuhasalo","Joensuu","98000","Pohjois-Karjalan SHP","Tuleva jätevesi","havaittu, yli määritysrajan","","22515","305749"
"2022-04-11","Nenäinniemi","Jyväskylä","154600","Keski-Suomen SHP","Tuleva jätevesi","havaittu, yli määritysrajan","","42156","177099"
"2022-04-11","Mäkikylä","Kouvola","67107","Kymenlaakson SHP","Tuleva jätevesi","havaittu, yli määritysrajan","","58042","189244"
"2022-04-11","Lehtoniemi","Kuopio","90697","Pohjois-Savon SHP","Tuleva jätevesi","havaittu, yli määritysrajan","","25805","388206"
"2022-04-11","Toikansuo","Lappeenranta","63000","Etelä-Karjalan SHP","Tuleva jätevesi","havaittu, yli määritysrajan","","22317","350738"
"2022-04-11","Taskila","Oulu","200000","Pohjois-Pohjanmaan SHP","Tuleva jätevesi","havaittu, yli määritysrajan","","47884","247448"
"2022-04-11","Luotsinmäki","Pori","112000","Satakunnan SHP","Tuleva jätevesi","havaittu, yli määritysrajan","","45663","82585"
"2022-04-11","Viinikanlahti","Tampere","200000","Pirkanmaan SHP","Tuleva jätevesi","havaittu, yli määritysrajan","","93184","275578"
"2022-04-11","Kakolanmäki","Turku","300000","Varsinais-Suomen SHP","Tuleva jätevesi","havaittu, yli määritysrajan","","165370","562798"
"2022-04-11","Pått","Vaasa","69500","Vaasan SHP","Tuleva jätevesi","havaittu, yli määritysrajan","","22540","81118"
"2022-04-04","Suomenoja","Espoo","390000","Helsingin ja Uudenmaan SHP","Tuleva jätevesi","havaittu, yli määritysrajan","","144804","796025"
"2022-04-04","Viikinmäki","Helsinki","860000","Helsingin ja Uudenmaan SHP","Tuleva jätevesi","havaittu, yli määritysrajan","","354916","841423"
"2022-04-04","Paroinen","Hämeenlinna","66000","Kanta-Hämeen SHP","Tuleva jätevesi","havaittu, yli määritysrajan","b","18065","368239"
"2022-04-04","Kuhasalo","Joensuu","98000","Pohjois-Karjalan SHP","Tuleva jätevesi","havaittu, yli määritysrajan","b","18079","272028"
"2022-04-04","Nenäinniemi","Jyväskylä","154600","Keski-Suomen SHP","Tuleva jätevesi","havaittu, yli määritysrajan","","37987","1053722"
"2022-04-04","Mäkikylä","Kouvola","67107","Kymenlaakson SHP","Tuleva jätevesi","havaittu, yli määritysrajan","b","30006","453110"
"2022-04-04","Lehtoniemi","Kuopio","90697","Pohjois-Savon SHP","Tuleva jätevesi","havaittu, yli määritysrajan","","21044","1080259"
"2022-04-04","Toikansuo","Lappeenranta","63000","Etelä-Karjalan SHP","Tuleva jätevesi","havaittu, yli määritysrajan","","16899","443674"
"2022-04-04","Taskila","Oulu","200000","Pohjois-Pohjanmaan SHP","Tuleva jätevesi","havaittu, yli määritysrajan","","40687","362324"
"2022-04-04","Luotsinmäki","Pori","112000","Satakunnan SHP","Tuleva jätevesi","havaittu, yli määritysrajan","","30137","232362"
"2022-04-04","Alakorkalo","Rovaniemi","55000","Lapin SHP","Tuleva jätevesi","havaittu, yli määritysrajan","","10259","1478430"
"2022-04-04","Viinikanlahti","Tampere","200000","Pirkanmaan SHP","Tuleva jätevesi","havaittu, yli määritysrajan","","71628","1002155"
"2022-04-04","Kakolanmäki","Turku","300000","Varsinais-Suomen SHP","Tuleva jätevesi","havaittu, yli määritysrajan","","84447","709611"
"2022-04-04","Pått","Vaasa","69500","Vaasan SHP","Tuleva jätevesi","havaittu, yli määritysrajan","","20653","465679"
"2022-03-28","Suomenoja","Espoo","390000","Helsingin ja Uudenmaan SHP","Tuleva jätevesi","havaittu, yli määritysrajan","","150676","698491"
"2022-03-28","Viikinmäki","Helsinki","860000","Helsingin ja Uudenmaan SHP","Tuleva jätevesi","havaittu, yli määritysrajan","b","400007","523837"
"2022-03-28","Paroinen","Hämeenlinna","66000","Kanta-Hämeen SHP","Tuleva jätevesi","havaittu, yli määritysrajan","b","21711","294648"
"2022-03-28","Kuhasalo","Joensuu","98000","Pohjois-Karjalan SHP","Tuleva jätevesi","havaittu, yli määritysrajan","b","19351","193518"
"2022-03-28","Nenäinniemi","Jyväskylä","154600","Keski-Suomen SHP","Tuleva jätevesi","havaittu, yli määritysrajan","b","42530","562345"
"2022-03-28","Mäkikylä","Kouvola","67107","Kymenlaakson SHP","Tuleva jätevesi","havaittu, yli määritysrajan","b","48100","215596"
"2022-03-28","Lehtoniemi","Kuopio","90697","Pohjois-Savon SHP","Tuleva jätevesi","havaittu, yli määritysrajan","","22478","776005"
"2022-03-28","Toikansuo","Lappeenranta","63000","Etelä-Karjalan SHP","Tuleva jätevesi","havaittu, yli määritysrajan","b","18257","1012136"
"2022-03-28","Taskila","Oulu","200000","Pohjois-Pohjanmaan SHP","Tuleva jätevesi","havaittu, yli määritysrajan","b","38929","242037"
"2022-03-28","Luotsinmäki","Pori","112000","Satakunnan SHP","Tuleva jätevesi","havaittu, yli määritysrajan","b","36201","125912"
"2022-03-28","Viinikanlahti","Tampere","200000","Pirkanmaan SHP","Tuleva jätevesi","havaittu, yli määritysrajan","b","85747","701942"
"2022-03-28","Kakolanmäki","Turku","300000","Varsinais-Suomen SHP","Tuleva jätevesi","havaittu, yli määritysrajan","b","112962","430043"
"2022-03-28","Pått","Vaasa","69500","Vaasan SHP","Tuleva jätevesi","havaittu, yli määritysrajan","b","30907","120248"
"2022-03-22","Kuhasalo","Joensuu","98000","Pohjois-Karjalan SHP","Tuleva jätevesi","havaittu, yli määritysrajan","","19700","228727"
"2022-03-21","Suomenoja","Espoo","390000","Helsingin ja Uudenmaan SHP","Tuleva jätevesi","havaittu, yli määritysrajan","","148124","849354"
